13;10;169
11;6;260
4;1;315
25;7;193
27;9;87
3;3;238
8;8;16
11;9;316
26;1;117
2;11;200
31;9;20
28;2;226
11;4;154
25;1;312
20;7;194
2;2;260
12;2;75
11;7;45
6;12;329
13;1;260
12;8;233
4;4;36
19;1;336
8;1;252
19;3;145
14;11;339
11;11;277
21;10;201
7;10;267
3;5;228
22;8;257
4;11;39
23;10;18
28;12;334
5;1;276
7;8;10
5;6;344
14;4;68
10;7;333
28;3;326
29;1;75
29;7;345
19;11;279
2;9;142
15;7;62
12;6;147
20;10;262
18;2;227
5;7;237
1;3;44
28;1;121
18;9;305
14;5;155
8;5;347
10;3;337
5;12;232
10;1;133
1;2;123
30;8;72
15;5;204
27;12;306
3;12;68
12;4;335
16;9;102
3;7;247
6;2;13
13;7;27
6;3;52
17;9;273
31;3;234
27;4;284
31;4;150
28;9;83
23;2;188
16;1;221
3;8;158
31;1;256
26;5;339
18;10;349
12;3;349
14;6;279
5;4;8
27;6;131
2;5;176
9;8;269
3;10;177
18;4;36
24;4;345
10;8;180
11;2;129
15;9;144
21;8;31
11;3;320
8;2;194
12;9;249
24;5;293
20;12;319
14;3;21
9;11;202
22;6;22
14;10;149
14;8;347
28;11;215
13;8;51
9;12;220
2;10;133
27;7;75
25;9;38
2;4;263
10;11;17
19;9;233
20;9;85
5;10;102
22;5;153
24;12;244
30;1;13
14;1;223
25;5;334
15;1;187
21;5;270
30;2;44
10;5;51
30;11;267
16;3;136
2;3;307
14;12;155
23;1;273
11;5;13
25;12;328
18;11;49
24;6;125
29;10;303
26;8;49
1;5;43
20;11;31
24;3;261
15;4;274
17;10;219
19;6;259
7;2;261
8;3;27
15;2;341
22;3;337
17;11;331
6;5;78
21;4;346
27;11;249
6;9;220
29;6;42
17;1;195
6;4;107
30;9;338
15;6;61
16;5;308
17;8;308
